客户名称,联系人,电话,邮箱,地址,行业,年营收(万元),备注
阿里巴巴网络技术有限公司,马云,13800001111,mayun@alibaba.com,杭州市余杭区文一西路969号,电商,520000,核心客户
阿里巴巴网络科技有限公司,马总,13800001111,,杭州市余杭区,电商,,疑似同一家
阿里巴巴(中国)网络技术有限公司,马云,138-0000-1111,,杭州市,电商,,
阿里巴巴 网络技术公司,,,,杭州,,,信息不全
腾讯计算机系统有限公司,张小龙,13800002222,zhangxl@tencent.com,深圳市南山区高新南一路飞亚达大厦,游戏,480000,A级客户
腾讯计算机系统有限公司(深圳),张小龙,13800002222,,深圳市南山区,游戏,,
腾讯计算机有限公司,马化腾,,,深圳,游戏,,
字节跳动科技有限公司,张一鸣,13800003333,zhangym@bytedance.com,北京市海淀区知春路盈都大厦,内容,300000,
字节跳动(北京)科技有限公司,张一鸣,13800003333,,北京市海淀区,内容,,
字节跳动有限公司,,,,北京,,,需要补充信息
拼多多网络科技有限公司,黄峥,13800004444,huangzh@pdd.com,上海市长宁区娄山关路新虹桥中心,电商,180000,
拼多多(上海)网络科技有限公司,黄峥,,,,电商,,
Apple Inc.,Tim Cook,400-666-8800,tim@apple.com,One Apple Park Way Cupertino CA,硬件,2700000,
Apple Inc,Tim Cook,400-666-8800,,Cupertino,硬件,,
APPLE INC.,,,,加州库比蒂诺,硬件,,
华为技术有限公司,任正非,13800005555,ren@huawei.com,深圳市龙岗区坂田华为基地,通讯,700000,独立客户
小米科技有限责任公司,雷军,13800006666,lei@xiaomi.com,北京市海淀区清河中街68号,硬件,280000,独立客户
京东集团股份有限公司,刘强东,13800007777,liu@jd.com,北京市大兴区京东总部,电商,1080000,独立客户
百度在线网络技术(北京)有限公司,李彦宏,13800008888,li@baidu.com,北京市海淀区上地十街10号,搜索,130000,独立客户
网易(杭州)网络有限公司,丁磊,13800009999,ding@netease.com,杭州市滨江区网商路599号,游戏,90000,独立客户
滴滴出行科技有限公司,程维,13800010000,cheng@didi.com,北京市海淀区中关村东路1号,出行,180000,独立客户
